Key,Demographic,Ad Duration,Platform,Building,Reinforcing,Impacting,Activating,Active 1 Sec,Active 2 Sec,Active 3 Sec,Active 4 Sec,Active 5 Sec,Active 6 Sec,Active 7 Sec,Active 8 Sec,Active 9 Sec,Active 10 Sec,Any 1 Sec,Any 2 Sec,Any 3 Sec,Any 4 Sec,Any 5 Sec,Any 6 Sec,Any 7 Sec,Any 8 Sec,Any 9 Sec,Any 10 Sec
YouTube SelectP18+30sec,P18+,30sec,YouTube Select,0.413443432,0.826747812,0.404877689,0.658166101,0.658166101,0.604438256,0.51425223,0.458605534,0.404877689,0.362662953,0.320448218,0.301259702,0.247531857,0.201479419,1,1,1,0.933981136,0.826747812,0.749548725,0.68058125,0.59759774,0.467727482,0.413443432
YouTube OMG Line UpsP18+30sec,P18+,30sec,YouTube OMG Line Ups,0.413443432,0.826747812,0.404877689,0.658166101,0.658166101,0.604438256,0.51425223,0.458605534,0.404877689,0.362662953,0.320448218,0.301259702,0.247531857,0.201479419,1,1,1,0.933981136,0.826747812,0.749548725,0.68058125,0.59759774,0.467727482,0.413443432
Nine NowP18+30sec,P18+,30sec,Nine Now,0.957799063,1,0.699419895,0.83518225,0.83518225,0.803231489,0.763880146,0.726726864,0.699419895,0.672112925,0.657698006,0.640327277,0.610270888,0.59856411,1,1,1,1,1,1,1,1,0.984461162,0.957799063
Ten PlayP18+30sec,P18+,30sec,Ten Play,0.957799063,1,0.699419895,0.83518225,0.83518225,0.803231489,0.763880146,0.726726864,0.699419895,0.672112925,0.657698006,0.640327277,0.610270888,0.59856411,1,1,1,1,1,1,1,1,0.984461162,0.957799063
Seven PlusP18+30sec,P18+,30sec,Seven Plus,0.957799063,1,0.699419895,0.83518225,0.83518225,0.803231489,0.763880146,0.726726864,0.699419895,0.672112925,0.657698006,0.640327277,0.610270888,0.59856411,1,1,1,1,1,1,1,1,0.984461162,0.957799063
SBS On DemandP18+30sec,P18+,30sec,SBS On Demand,0.957799063,1,0.699419895,0.83518225,0.83518225,0.803231489,0.763880146,0.726726864,0.699419895,0.672112925,0.657698006,0.640327277,0.610270888,0.59856411,1,1,1,1,1,1,1,1,0.984461162,0.957799063
KayoP18+30sec,P18+,30sec,Kayo,0.957799063,1,0.699419895,0.83518225,0.83518225,0.803231489,0.763880146,0.726726864,0.699419895,0.672112925,0.657698006,0.640327277,0.610270888,0.59856411,1,1,1,1,1,1,1,1,0.984461162,0.957799063
Foxtel GoP18+30sec,P18+,30sec,Foxtel Go,0.957799063,1,0.699419895,0.83518225,0.83518225,0.803231489,0.763880146,0.726726864,0.699419895,0.672112925,0.657698006,0.640327277,0.610270888,0.59856411,1,1,1,1,1,1,1,1,0.984461162,0.957799063
BingeP18+30sec,P18+,30sec,Binge,0.957799063,1,0.699419895,0.83518225,0.83518225,0.803231489,0.763880146,0.726726864,0.699419895,0.672112925,0.657698006,0.640327277,0.610270888,0.59856411,1,1,1,1,1,1,1,1,0.984461162,0.957799063
NetflixP18+30sec,P18+,30sec,Netflix,0.957799063,1,0.699419895,0.83518225,0.83518225,0.803231489,0.763880146,0.726726864,0.699419895,0.672112925,0.657698006,0.640327277,0.610270888,0.59856411,1,1,1,1,1,1,1,1,0.984461162,0.957799063
Amazon PrimeP18+30sec,P18+,30sec,Amazon Prime,0.957799063,1,0.699419895,0.83518225,0.83518225,0.803231489,0.763880146,0.726726864,0.699419895,0.672112925,0.657698006,0.640327277,0.610270888,0.59856411,1,1,1,1,1,1,1,1,0.984461162,0.957799063
Samsung In-StreamP18+30sec,P18+,30sec,Samsung In-Stream,0.957799063,1,0.699419895,0.83518225,0.83518225,0.803231489,0.763880146,0.726726864,0.699419895,0.672112925,0.657698006,0.640327277,0.610270888,0.59856411,1,1,1,1,1,1,1,1,0.984461162,0.957799063
Linear TV Metro & RegionalP18+Other,P18+,Other,Linear TV Metro & Regional,0.517456817,0.786990077,0.250716648,0.389195149,0.389195149,0.343256156,0.308563028,0.27783903,0.250716648,0.221903712,0.206247703,0.185446527,0.165453877,0.144579199,1,1,0.950753399,0.847115031,0.786990077,0.718191841,0.665711136,0.613450937,0.562954796,0.517456817
Linear TV MetroP18+Other,P18+,Other,Linear TV Metro,0.517456817,0.786990077,0.250716648,0.389195149,0.389195149,0.343256156,0.308563028,0.27783903,0.250716648,0.221903712,0.206247703,0.185446527,0.165453877,0.144579199,1,1,0.950753399,0.847115031,0.786990077,0.718191841,0.665711136,0.613450937,0.562954796,0.517456817
Linear TV RegionalP18+Other,P18+,Other,Linear TV Regional,0.517456817,0.786990077,0.250716648,0.389195149,0.389195149,0.343256156,0.308563028,0.27783903,0.250716648,0.221903712,0.206247703,0.185446527,0.165453877,0.144579199,1,1,0.950753399,0.847115031,0.786990077,0.718191841,0.665711136,0.613450937,0.562954796,0.517456817
Linear TV Metro 5 Cap Seven NetworkP18+Other,P18+,Other,Linear TV Metro 5 Cap Seven Network,0.517456817,0.786990077,0.250716648,0.389195149,0.389195149,0.343256156,0.308563028,0.27783903,0.250716648,0.221903712,0.206247703,0.185446527,0.165453877,0.144579199,1,1,0.950753399,0.847115031,0.786990077,0.718191841,0.665711136,0.613450937,0.562954796,0.517456817
Linear TV Metro 5 Cap Nine NetworkP18+Other,P18+,Other,Linear TV Metro 5 Cap Nine Network,0.517456817,0.786990077,0.250716648,0.389195149,0.389195149,0.343256156,0.308563028,0.27783903,0.250716648,0.221903712,0.206247703,0.185446527,0.165453877,0.144579199,1,1,0.950753399,0.847115031,0.786990077,0.718191841,0.665711136,0.613450937,0.562954796,0.517456817
Linear TV Metro 5 Cap Ten NetworkP18+Other,P18+,Other,Linear TV Metro 5 Cap Ten Network,0.517456817,0.786990077,0.250716648,0.389195149,0.389195149,0.343256156,0.308563028,0.27783903,0.250716648,0.221903712,0.206247703,0.185446527,0.165453877,0.144579199,1,1,0.950753399,0.847115031,0.786990077,0.718191841,0.665711136,0.613450937,0.562954796,0.517456817
Linear TV Metro 5 Cap SBS NetworkP18+Other,P18+,Other,Linear TV Metro 5 Cap SBS Network,0.517456817,0.786990077,0.250716648,0.389195149,0.389195149,0.343256156,0.308563028,0.27783903,0.250716648,0.221903712,0.206247703,0.185446527,0.165453877,0.144579199,1,1,0.950753399,0.847115031,0.786990077,0.718191841,0.665711136,0.613450937,0.562954796,0.517456817
