Platform,Duration,Demographic,Key,CPM
Linear TV Regional 4 Nine Network,15Sec,P18+,Linear TV Regional 4 Nine NetworkP18+,12.7
Linear TV Regional 4 Ten Network,15Sec,P18+,Linear TV Regional 4 Ten NetworkP18+,12.7
Linear TV Regional 4 SBS Network,15Sec,P18+,Linear TV Regional 4 SBS NetworkP18+,12.7
Foxtel Linear,15Sec,P18+,Foxtel LinearP18+,9
YouTube Select,15Sec,P18+,YouTube SelectP18+,23.7
Nine Now,15Sec,P18+,Nine NowP18+,48
Ten Play,15Sec,P18+,Ten PlayP18+,40
Seven Plus,15Sec,P18+,Seven PlusP18+,40.8
SBS On Demand,15Sec,P18+,SBS On DemandP18+,39.2
Kayo,15Sec,P18+,KayoP18+,40
Foxtel Go,15Sec,P18+,Foxtel GoP18+,32
Binge,15Sec,P18+,BingeP18+,44
Netflix,15Sec,P18+,NetflixP18+,32
Optus Sport,15Sec,P18+,Optus SportP18+,32
Amazon Prime,15Sec,P18+,Amazon PrimeP18+,32
Linear TV Metro & Regional,Other,P18+,Linear TV Metro & RegionalP18+,14.6
Linear TV Metro,Other,P18+,Linear TV MetroP18+,15.2
Linear TV Regional,Other,P18+,Linear TV RegionalP18+,12.7
Linear TV Metro 5 Cap Seven Network,Other,P18+,Linear TV Metro 5 Cap Seven NetworkP18+,15.2
Linear TV Metro 5 Cap Nine Network,Other,P18+,Linear TV Metro 5 Cap Nine NetworkP18+,15.2
Linear TV Metro 5 Cap Ten Network,Other,P18+,Linear TV Metro 5 Cap Ten NetworkP18+,15.2
Linear TV Metro 5 Cap SBS Network,Other,P18+,Linear TV Metro 5 Cap SBS NetworkP18+,15.2
Linear TV Regional 4 Seven Network,Other,P18+,Linear TV Regional 4 Seven NetworkP18+,12.7
Linear TV Regional 4 Nine Network,Other,P18+,Linear TV Regional 4 Nine NetworkP18+,12.7
Linear TV Regional 4 Ten Network,Other,P18+,Linear TV Regional 4 Ten NetworkP18+,12.7
Linear TV Regional 4 SBS Network,Other,P18+,Linear TV Regional 4 SBS NetworkP18+,12.7
Foxtel Linear,Other,P18+,Foxtel LinearP18+,9
YouTube Select,Other,P18+,YouTube SelectP18+,23.7
Nine Now,Other,P18+,Nine NowP18+,48
Ten Play,Other,P18+,Ten PlayP18+,40
Seven Plus,Other,P18+,Seven PlusP18+,40.8
SBS On Demand,Other,P18+,SBS On DemandP18+,39.2
Kayo,Other,P18+,KayoP18+,40
Foxtel Go,Other,P18+,Foxtel GoP18+,32
Binge,Other,P18+,BingeP18+,44
Netflix,Other,P18+,NetflixP18+,32
Optus Sport,Other,P18+,Optus SportP18+,32
Amazon Prime,Other,P18+,Amazon PrimeP18+,32
Linear TV Metro & Regional,30Sec,P18-64,Linear TV Metro & RegionalP18-64,24.3
Linear TV Metro,30Sec,P18-64,Linear TV MetroP18-64,25.4
Linear TV Regional,30Sec,P18-64,Linear TV RegionalP18-64,21.1
Linear TV Metro 5 Cap Seven Network,30Sec,P18-64,Linear TV Metro 5 Cap Seven NetworkP18-64,25.4
Linear TV Metro 5 Cap Nine Network,30Sec,P18-64,Linear TV Metro 5 Cap Nine NetworkP18-64,25.4
Linear TV Metro 5 Cap Ten Network,30Sec,P18-64,Linear TV Metro 5 Cap Ten NetworkP18-64,25.4
Linear TV Metro 5 Cap SBS Network,30Sec,P18-64,Linear TV Metro 5 Cap SBS NetworkP18-64,25.4
Linear TV Regional 4 Seven Network,30Sec,P18-64,Linear TV Regional 4 Seven NetworkP18-64,21.1
Linear TV Regional 4 Nine Network,30Sec,P18-64,Linear TV Regional 4 Nine NetworkP18-64,21.1
Linear TV Regional 4 Ten Network,30Sec,P18-64,Linear TV Regional 4 Ten NetworkP18-64,21.1
Linear TV Regional 4 SBS Network,30Sec,P18-64,Linear TV Regional 4 SBS NetworkP18-64,21.1
Foxtel Linear,30Sec,P18-64,Foxtel LinearP18-64,15
YouTube Select,30Sec,P18-64,YouTube SelectP18-64,29.6
