Platform,Demographic,Key,30Sec CPM,15Sec CPM,Other Sec CPM
Linear TV Metro 5 Cap Seven Network,P18-64,Linear TV Metro 5 Cap Seven NetworkP18-64,65.6,39.36,39.36
Linear TV Metro 5 Cap Nine Network,P18-64,Linear TV Metro 5 Cap Nine NetworkP18-64,51.52,30.91,30.91
Linear TV Metro 5 Cap Ten Network,P18-64,Linear TV Metro 5 Cap Ten NetworkP18-64,43.79,26.2735,26.2735
Linear TV Metro 5 Cap SBS Network,P18-64,Linear TV Metro 5 Cap SBS NetworkP18-64,40.6,24.36,24.36
Linear TV Regional 4 Seven Network,P18-64,Linear TV Regional 4 Seven NetworkP18-64,28.23,16.94,16.94
Linear TV Regional 4 Nine Network,P18-64,Linear TV Regional 4 Nine NetworkP18-64,18.65,11.19,11.19
Linear TV Regional 4 Ten Network,P18-64,Linear TV Regional 4 Ten NetworkP18-64,15.85,9.5115,9.5115
Linear TV Regional 4 SBS Network,P18-64,Linear TV Regional 4 SBS NetworkP18-64,18.06,10.8375,10.8375
Foxtel Linear,P18-64,Foxtel LinearP18-64,29,17,17
YouTube TrueView,P18-64,YouTube TrueViewP18-64,35,25,25
YouTube Instant Reserve,P18-64,YouTube Instant ReserveP18-64,49,35,35
YouTube Select,P18-64,YouTube SelectP18-64,42,30,30
YouTube OMG Select,P18-64,YouTube OMG SelectP18-64,56,40,40
Nine Now,P18-64,Nine NowP18-64,39,28,28
Ten Play,P18-64,Ten PlayP18-64,34,28,28
Seven Plus,P18-64,Seven PlusP18-64,44,31,31
SBS On Demand,P18-64,SBS On DemandP18-64,44,44,44
Kayo,P18-64,KayoP18-64,39,33,33
Foxtel Go,P18-64,Foxtel GoP18-64,36,25,25
Binge,P18-64,BingeP18-64,51,36,36
Netflix,P18-64,NetflixP18-64,45,36,36
Optus Sport,P18-64,Optus SportP18-64,34,34,34
Amazon Prime,P18-64,Amazon PrimeP18-64,48,37,37
