Platform,Duration,Demographic,Key,CPM
Linear TV Regional 4 Ten Network,30Sec,P18+,Linear TV Regional 4 Ten NetworkP18+,32
Linear TV Regional 4 SBS Network,30Sec,P18+,Linear TV Regional 4 SBS NetworkP18+,32
Foxtel Linear,30Sec,P18+,Foxtel LinearP18+,23
YouTube TrueView,30Sec,P18+,YouTube TrueViewP18+,35
YouTube Instant Reserve,30Sec,P18+,YouTube Instant ReserveP18+,49
YouTube Select,30Sec,P18+,YouTube SelectP18+,42
YouTube OMG Select,30Sec,P18+,YouTube OMG SelectP18+,56
Nine Now,30Sec,P18+,Nine NowP18+,39
Ten Play,30Sec,P18+,Ten PlayP18+,34
Seven Plus,30Sec,P18+,Seven PlusP18+,44
SBS On Demand,30Sec,P18+,SBS On DemandP18+,44
Kayo,30Sec,P18+,KayoP18+,39
Foxtel Go,30Sec,P18+,Foxtel GoP18+,36
Binge,30Sec,P18+,BingeP18+,51
Netflix,30Sec,P18+,NetflixP18+,45
Optus Sport,30Sec,P18+,Optus SportP18+,34
Amazon Prime,30Sec,P18+,Amazon PrimeP18+,48
Linear TV Metro & Regional,15Sec,P18+,Linear TV Metro & RegionalP18+,22
Linear TV Metro,15Sec,P18+,Linear TV MetroP18+,23
Linear TV Regional,15Sec,P18+,Linear TV RegionalP18+,19
Linear TV Metro 5 Cap Seven Network,15Sec,P18+,Linear TV Metro 5 Cap Seven NetworkP18+,23
Linear TV Metro 5 Cap Nine Network,15Sec,P18+,Linear TV Metro 5 Cap Nine NetworkP18+,23
Linear TV Metro 5 Cap Ten Network,15Sec,P18+,Linear TV Metro 5 Cap Ten NetworkP18+,23
Linear TV Metro 5 Cap SBS Network,15Sec,P18+,Linear TV Metro 5 Cap SBS NetworkP18+,23
Linear TV Regional 4 Seven Network,15Sec,P18+,Linear TV Regional 4 Seven NetworkP18+,19
Linear TV Regional 4 Nine Network,15Sec,P18+,Linear TV Regional 4 Nine NetworkP18+,19
Linear TV Regional 4 Ten Network,15Sec,P18+,Linear TV Regional 4 Ten NetworkP18+,19
Linear TV Regional 4 SBS Network,15Sec,P18+,Linear TV Regional 4 SBS NetworkP18+,19
Foxtel Linear,15Sec,P18+,Foxtel LinearP18+,14
YouTube TrueView,15Sec,P18+,YouTube TrueViewP18+,25
YouTube Instant Reserve,15Sec,P18+,YouTube Instant ReserveP18+,35
YouTube Select,15Sec,P18+,YouTube SelectP18+,30
YouTube OMG Select,15Sec,P18+,YouTube OMG SelectP18+,40
Nine Now,15Sec,P18+,Nine NowP18+,28
Ten Play,15Sec,P18+,Ten PlayP18+,28
Seven Plus,15Sec,P18+,Seven PlusP18+,31
SBS On Demand,15Sec,P18+,SBS On DemandP18+,44
Kayo,15Sec,P18+,KayoP18+,33
Foxtel Go,15Sec,P18+,Foxtel GoP18+,25
Binge,15Sec,P18+,BingeP18+,36
Netflix,15Sec,P18+,NetflixP18+,36
Optus Sport,15Sec,P18+,Optus SportP18+,34
Amazon Prime,15Sec,P18+,Amazon PrimeP18+,37
Linear TV Metro & Regional,Other,P18+,Linear TV Metro & RegionalP18+,22
Linear TV Metro,Other,P18+,Linear TV MetroP18+,23
Linear TV Regional,Other,P18+,Linear TV RegionalP18+,19
Linear TV Metro 5 Cap Seven Network,Other,P18+,Linear TV Metro 5 Cap Seven NetworkP18+,23
Linear TV Metro 5 Cap Nine Network,Other,P18+,Linear TV Metro 5 Cap Nine NetworkP18+,23
Linear TV Metro 5 Cap Ten Network,Other,P18+,Linear TV Metro 5 Cap Ten NetworkP18+,23
Linear TV Metro 5 Cap SBS Network,Other,P18+,Linear TV Metro 5 Cap SBS NetworkP18+,23
Linear TV Regional 4 Seven Network,Other,P18+,Linear TV Regional 4 Seven NetworkP18+,19
Linear TV Regional 4 Nine Network,Other,P18+,Linear TV Regional 4 Nine NetworkP18+,19
Linear TV Regional 4 Ten Network,Other,P18+,Linear TV Regional 4 Ten NetworkP18+,19
Linear TV Regional 4 SBS Network,Other,P18+,Linear TV Regional 4 SBS NetworkP18+,19
Foxtel Linear,Other,P18+,Foxtel LinearP18+,14
YouTube TrueView,Other,P18+,YouTube TrueViewP18+,25
YouTube Instant Reserve,Other,P18+,YouTube Instant ReserveP18+,35
YouTube Select,Other,P18+,YouTube SelectP18+,30
YouTube OMG Select,Other,P18+,YouTube OMG SelectP18+,40
Nine Now,Other,P18+,Nine NowP18+,28
Ten Play,Other,P18+,Ten PlayP18+,28
Seven Plus,Other,P18+,Seven PlusP18+,31
SBS On Demand,Other,P18+,SBS On DemandP18+,44
Kayo,Other,P18+,KayoP18+,33
Foxtel Go,Other,P18+,Foxtel GoP18+,25
Binge,Other,P18+,BingeP18+,36
Netflix,Other,P18+,NetflixP18+,36
Optus Sport,Other,P18+,Optus SportP18+,34
Amazon Prime,Other,P18+,Amazon PrimeP18+,37
Linear TV Metro & Regional,30Sec,P18-64,Linear TV Metro & RegionalP18-64,47
Linear TV Metro,30Sec,P18-64,Linear TV MetroP18-64,49
Linear TV Regional,30Sec,P18-64,Linear TV RegionalP18-64,41
Linear TV Metro 5 Cap Seven Network,30Sec,P18-64,Linear TV Metro 5 Cap Seven NetworkP18-64,49
Linear TV Metro 5 Cap Nine Network,30Sec,P18-64,Linear TV Metro 5 Cap Nine NetworkP18-64,49
Linear TV Metro 5 Cap Ten Network,30Sec,P18-64,Linear TV Metro 5 Cap Ten NetworkP18-64,49
Linear TV Metro 5 Cap SBS Network,30Sec,P18-64,Linear TV Metro 5 Cap SBS NetworkP18-64,49
Linear TV Regional 4 Seven Network,30Sec,P18-64,Linear TV Regional 4 Seven NetworkP18-64,41
Linear TV Regional 4 Nine Network,30Sec,P18-64,Linear TV Regional 4 Nine NetworkP18-64,41
Linear TV Regional 4 Ten Network,30Sec,P18-64,Linear TV Regional 4 Ten NetworkP18-64,41
Linear TV Regional 4 SBS Network,30Sec,P18-64,Linear TV Regional 4 SBS NetworkP18-64,41
Foxtel Linear,30Sec,P18-64,Foxtel LinearP18-64,29
YouTube TrueView,30Sec,P18-64,YouTube TrueViewP18-64,35
YouTube Instant Reserve,30Sec,P18-64,YouTube Instant ReserveP18-64,49
YouTube Select,30Sec,P18-64,YouTube SelectP18-64,42
YouTube OMG Select,30Sec,P18-64,YouTube OMG SelectP18-64,56
Nine Now,30Sec,P18-64,Nine NowP18-64,39
Ten Play,30Sec,P18-64,Ten PlayP18-64,34
Seven Plus,30Sec,P18-64,Seven PlusP18-64,44
SBS On Demand,30Sec,P18-64,SBS On DemandP18-64,44
Kayo,30Sec,P18-64,KayoP18-64,39
Foxtel Go,30Sec,P18-64,Foxtel GoP18-64,36
Binge,30Sec,P18-64,BingeP18-64,51
Netflix,30Sec,P18-64,NetflixP18-64,45
Optus Sport,30Sec,P18-64,Optus SportP18-64,34
Amazon Prime,30Sec,P18-64,Amazon PrimeP18-64,48
Linear TV Metro & Regional,15Sec,P18-64,Linear TV Metro & RegionalP18-64,28
Linear TV Metro,15Sec,P18-64,Linear TV MetroP18-64,29
Linear TV Regional,15Sec,P18-64,Linear TV RegionalP18-64,25
Linear TV Metro 5 Cap Seven Network,15Sec,P18-64,Linear TV Metro 5 Cap Seven NetworkP18-64,29
Linear TV Metro 5 Cap Nine Network,15Sec,P18-64,Linear TV Metro 5 Cap Nine NetworkP18-64,29
Linear TV Metro 5 Cap Ten Network,15Sec,P18-64,Linear TV Metro 5 Cap Ten NetworkP18-64,29
Linear TV Metro 5 Cap SBS Network,15Sec,P18-64,Linear TV Metro 5 Cap SBS NetworkP18-64,29
Linear TV Regional 4 Seven Network,15Sec,P18-64,Linear TV Regional 4 Seven NetworkP18-64,25
Linear TV Regional 4 Nine Network,15Sec,P18-64,Linear TV Regional 4 Nine NetworkP18-64,25
Linear TV Regional 4 Ten Network,15Sec,P18-64,Linear TV Regional 4 Ten NetworkP18-64,25
Linear TV Regional 4 SBS Network,15Sec,P18-64,Linear TV Regional 4 SBS NetworkP18-64,25
Foxtel Linear,15Sec,P18-64,Foxtel LinearP18-64,17
YouTube TrueView,15Sec,P18-64,YouTube TrueViewP18-64,25
YouTube Instant Reserve,15Sec,P18-64,YouTube Instant ReserveP18-64,35
YouTube Select,15Sec,P18-64,YouTube SelectP18-64,30
YouTube OMG Select,15Sec,P18-64,YouTube OMG SelectP18-64,40
Nine Now,15Sec,P18-64,Nine NowP18-64,28
Ten Play,15Sec,P18-64,Ten PlayP18-64,28
Seven Plus,15Sec,P18-64,Seven PlusP18-64,31
SBS On Demand,15Sec,P18-64,SBS On DemandP18-64,44
Kayo,15Sec,P18-64,KayoP18-64,33
Foxtel Go,15Sec,P18-64,Foxtel GoP18-64,25
Binge,15Sec,P18-64,BingeP18-64,36
Netflix,15Sec,P18-64,NetflixP18-64,36
Optus Sport,15Sec,P18-64,Optus SportP18-64,34
Amazon Prime,15Sec,P18-64,Amazon PrimeP18-64,37
Linear TV Metro & Regional,Other,P18-64,Linear TV Metro & RegionalP18-64,28
Linear TV Metro,Other,P18-64,Linear TV MetroP18-64,29
Linear TV Regional,Other,P18-64,Linear TV RegionalP18-64,25
Linear TV Metro 5 Cap Seven Network,Other,P18-64,Linear TV Metro 5 Cap Seven NetworkP18-64,29
Linear TV Metro 5 Cap Nine Network,Other,P18-64,Linear TV Metro 5 Cap Nine NetworkP18-64,29
