Key,Demographic,Ad Duration,Platform,Building,Reinforcing,Impacting,Activating,Active 1 Sec,Active 2 Sec,Active 3 Sec,Active 4 Sec,Active 5 Sec,Active 6 Sec,Active 7 Sec,Active 8 Sec,Active 9 Sec,Active 10 Sec,Passive 1 Sec,Passive 2 Sec,Passive 3 Sec,Passive 4 Sec,Passive 5 Sec,Passive 6 Sec,Passive 7 Sec,Passive 8 Sec,Passive 9 Sec,Passive 10 Sec,Any 1 Sec,Any 2 Sec,Any 3 Sec,Any 4 Sec,Any 5 Sec,Any 6 Sec,Any 7 Sec,Any 8 Sec,Any 9 Sec,Any 10 Sec
KayoP18+15sec,P18+,15sec,Kayo,0.7,0.83,0.82,1,70.91420109,66.70053518,63.98605323,54.29011093,49.38973051,46.94256974,44.1939892,40.87153569,39.96624393,37.89579169,58.8238645,52.36637518,47.73276957,42.82893888,38.58058914,34.75364783,31.30631398,28.20093304,25.40358551,22.8837165,55.01615948,61.81356311,64.44184277,65.51702604,67.0989325,70.96518591,72.77509732,74.12141837,76.25443071,78.05409444
Foxtel GoP18+15sec,P18+,15sec,Foxtel Go,0.7,0.83,0.82,1,70.91420109,66.70053518,63.98605323,54.29011093,49.38973051,46.94256974,44.1939892,40.87153569,39.96624393,37.89579169,58.8238645,52.36637518,47.73276957,42.82893888,38.58058914,34.75364783,31.30631398,28.20093304,25.40358551,22.8837165,55.01615948,61.81356311,64.44184277,65.51702604,67.0989325,70.96518591,72.77509732,74.12141837,76.25443071,78.05409444
BingeP18+15sec,P18+,15sec,Binge,0.7,0.83,0.82,1,70.91420109,66.70053518,63.98605323,54.29011093,49.38973051,46.94256974,44.1939892,40.87153569,39.96624393,37.89579169,58.8238645,52.36637518,47.73276957,42.82893888,38.58058914,34.75364783,31.30631398,28.20093304,25.40358551,22.8837165,55.01615948,61.81356311,64.44184277,65.51702604,67.0989325,70.96518591,72.77509732,74.12141837,76.25443071,78.05409444
NetflixP18+15sec,P18+,15sec,Netflix,0.7,0.83,0.82,1,70.91420109,66.70053518,63.98605323,54.29011093,49.38973051,46.94256974,44.1939892,40.87153569,39.96624393,37.89579169,58.8238645,52.36637518,47.73276957,42.82893888,38.58058914,34.75364783,31.30631398,28.20093304,25.40358551,22.8837165,55.01615948,61.81356311,64.44184277,65.51702604,67.0989325,70.96518591,72.77509732,74.12141837,76.25443071,78.05409444
Optus SportP18+15sec,P18+,15sec,Optus Sport,0.7,0.83,0.82,1,70.91420109,66.70053518,63.98605323,54.29011093,49.38973051,46.94256974,44.1939892,40.87153569,39.96624393,37.89579169,58.8238645,52.36637518,47.73276957,42.82893888,38.58058914,34.75364783,31.30631398,28.20093304,25.40358551,22.8837165,55.01615948,61.81356311,64.44184277,65.51702604,67.0989325,70.96518591,72.77509732,74.12141837,76.25443071,78.05409444
Amazon PrimeP18+15sec,P18+,15sec,Amazon Prime,0.7,0.83,0.82,1,70.91420109,66.70053518,63.98605323,54.29011093,49.38973051,46.94256974,44.1939892,40.87153569,39.96624393,37.89579169,58.8238645,52.36637518,47.73276957,42.82893888,38.58058914,34.75364783,31.30631398,28.20093304,25.40358551,22.8837165,55.01615948,61.81356311,64.44184277,65.51702604,67.0989325,70.96518591,72.77509732,74.12141837,76.25443071,78.05409444
Samsung In-StreamP18+15sec,P18+,15sec,Samsung In-Stream,0.7,0.83,0.82,1,70.91420109,66.70053518,63.98605323,54.29011093,49.38973051,46.94256974,44.1939892,40.87153569,39.96624393,37.89579169,58.8238645,52.36637518,47.73276957,42.82893888,38.58058914,34.75364783,31.30631398,28.20093304,25.40358551,22.8837165,55.01615948,61.81356311,64.44184277,65.51702604,67.0989325,70.96518591,72.77509732,74.12141837,76.25443071,78.05409444
Linear TV Metro & RegionalP18+30sec,P18+,30sec,Linear TV Metro & Regional,0.78,0.82,0.32,0.46,51.37618295,47.08601613,42.77191986,39.35185204,37.53828814,35.48970316,34.38779651,30.98929218,26.91479447,24.25051294,74.00902008,71.05740781,64.78694905,59.59686699,56.97891642,53.58464679,49.23617653,47.28736088,45.9233323,43.87747342,38.80121205,43.07664397,48.77594373,51.65241284,53.67943979,54.51813164,58.74479273,62.07649866,63.248115,65.26022393
Linear TV MetroP18+30sec,P18+,30sec,Linear TV Metro,0.78,0.82,0.32,0.46,51.37618295,47.08601613,42.77191986,39.35185204,37.53828814,35.48970316,34.38779651,30.98929218,26.91479447,24.25051294,74.00902008,71.05740781,64.78694905,59.59686699,56.97891642,53.58464679,49.23617653,47.28736088,45.9233323,43.87747342,38.80121205,43.07664397,48.77594373,51.65241284,53.67943979,54.51813164,58.74479273,62.07649866,63.248115,65.26022393
Linear TV RegionalP18+30sec,P18+,30sec,Linear TV Regional,0.78,0.82,0.32,0.46,51.37618295,47.08601613,42.77191986,39.35185204,37.53828814,35.48970316,34.38779651,30.98929218,26.91479447,24.25051294,74.00902008,71.05740781,64.78694905,59.59686699,56.97891642,53.58464679,49.23617653,47.28736088,45.9233323,43.87747342,38.80121205,43.07664397,48.77594373,51.65241284,53.67943979,54.51813164,58.74479273,62.07649866,63.248115,65.26022393
Linear TV Metro 5 Cap Seven NetworkP18+30sec,P18+,30sec,Linear TV Metro 5 Cap Seven Network,0.78,0.82,0.32,0.46,51.37618295,47.08601613,42.77191986,39.35185204,37.53828814,35.48970316,34.38779651,30.98929218,26.91479447,24.25051294,74.00902008,71.05740781,64.78694905,59.59686699,56.97891642,53.58464679,49.23617653,47.28736088,45.9233323,43.87747342,38.80121205,43.07664397,48.77594373,51.65241284,53.67943979,54.51813164,58.74479273,62.07649866,63.248115,65.26022393
Linear TV Metro 5 Cap Nine NetworkP18+30sec,P18+,30sec,Linear TV Metro 5 Cap Nine Network,0.78,0.82,0.32,0.46,51.37618295,47.08601613,42.77191986,39.35185204,37.53828814,35.48970316,34.38779651,30.98929218,26.91479447,24.25051294,74.00902008,71.05740781,64.78694905,59.59686699,56.97891642,53.58464679,49.23617653,47.28736088,45.9233323,43.87747342,38.80121205,43.07664397,48.77594373,51.65241284,53.67943979,54.51813164,58.74479273,62.07649866,63.248115,65.26022393
Linear TV Metro 5 Cap Ten NetworkP18+30sec,P18+,30sec,Linear TV Metro 5 Cap Ten Network,0.78,0.82,0.32,0.46,51.37618295,47.08601613,42.77191986,39.35185204,37.53828814,35.48970316,34.38779651,30.98929218,26.91479447,24.25051294,74.00902008,71.05740781,64.78694905,59.59686699,56.97891642,53.58464679,49.23617653,47.28736088,45.9233323,43.87747342,38.80121205,43.07664397,48.77594373,51.65241284,53.67943979,54.51813164,58.74479273,62.07649866,63.248115,65.26022393
Linear TV Metro 5 Cap SBS NetworkP18+30sec,P18+,30sec,Linear TV Metro 5 Cap SBS Network,0.78,0.82,0.32,0.46,51.37618295,47.08601613,42.77191986,39.35185204,37.53828814,35.48970316,34.38779651,30.98929218,26.91479447,24.25051294,74.00902008,71.05740781,64.78694905,59.59686699,56.97891642,53.58464679,49.23617653,47.28736088,45.9233323,43.87747342,38.80121205,43.07664397,48.77594373,51.65241284,53.67943979,54.51813164,58.74479273,62.07649866,63.248115,65.26022393
Linear TV Regional 4 Seven NetworkP18+30sec,P18+,30sec,Linear TV Regional 4 Seven Network,0.78,0.82,0.32,0.46,51.37618295,47.08601613,42.77191986,39.35185204,37.53828814,35.48970316,34.38779651,30.98929218,26.91479447,24.25051294,74.00902008,71.05740781,64.78694905,59.59686699,56.97891642,53.58464679,49.23617653,47.28736088,45.9233323,43.87747342,38.80121205,43.07664397,48.77594373,51.65241284,53.67943979,54.51813164,58.74479273,62.07649866,63.248115,65.26022393
Linear TV Regional 4 Nine NetworkP18+30sec,P18+,30sec,Linear TV Regional 4 Nine Network,0.78,0.82,0.32,0.46,51.37618295,47.08601613,42.77191986,39.35185204,37.53828814,35.48970316,34.38779651,30.98929218,26.91479447,24.25051294,74.00902008,71.05740781,64.78694905,59.59686699,56.97891642,53.58464679,49.23617653,47.28736088,45.9233323,43.87747342,38.80121205,43.07664397,48.77594373,51.65241284,53.67943979,54.51813164,58.74479273,62.07649866,63.248115,65.26022393
Linear TV Regional 4 Ten NetworkP18+30sec,P18+,30sec,Linear TV Regional 4 Ten Network,0.78,0.82,0.32,0.46,51.37618295,47.08601613,42.77191986,39.35185204,37.53828814,35.48970316,34.38779651,30.98929218,26.91479447,24.25051294,74.00902008,71.05740781,64.78694905,59.59686699,56.97891642,53.58464679,49.23617653,47.28736088,45.9233323,43.87747342,38.80121205,43.07664397,48.77594373,51.65241284,53.67943979,54.51813164,58.74479273,62.07649866,63.248115,65.26022393
Linear TV Regional 4 SBS NetworkP18+30sec,P18+,30sec,Linear TV Regional 4 SBS Network,0.78,0.82,0.32,0.46,51.37618295,47.08601613,42.77191986,39.35185204,37.53828814,35.48970316,34.38779651,30.98929218,26.91479447,24.25051294,74.00902008,71.05740781,64.78694905,59.59686699,56.97891642,53.58464679,49.23617653,47.28736088,45.9233323,43.87747342,38.80121205,43.07664397,48.77594373,51.65241284,53.67943979,54.51813164,58.74479273,62.07649866,63.248115,65.26022393
Foxtel LinearP18+30sec,P18+,30sec,Foxtel Linear,0.78,0.82,0.32,0.46,37.96733605,34.46654544,31.44584765,30.04188205,28.26729283,27.0065723,25.48099475,24.04210903,22.9030029,21.64690208,70.07664834,66.22465388,61.86356735,60.43607154,59.30885722,57.49324385,55.39658066,53.7695375,52.85186279,50.9796046,52.00627696,54.86076669,56.41474756,57.78758968,59.46615606,60.12491842,60.58957621,61.39322977,62.22082632,62.47635479
YouTube TrueViewP18+30sec,P18+,30sec,YouTube TrueView,0.21,0.72,0.23,0.72,76.14942612,69.14393584,56.63289495,51.16956789,46.41445501,41.19074764,37.83917869,32.98738591,26.97019434,17.24135686,50.70492434,42.04567806,35.28869245,25.62528489,22.33682642,19.08549804,16.60093929,13.04928169,6.643810898,5.97853662,83.0308754,88.6789592,89.49006044,89.8497399,90.57866327,89.45254413,90.68503832,91.64955721,92.2205781,92.9445969
YouTube Instant ReserveP18+30sec,P18+,30sec,YouTube Instant Reserve,0.77,0.86,0.53,0.83,76.14942612,69.14393584,56.63289495,51.16956789,46.41445501,41.19074764,37.83917869,32.98738591,26.97019434,17.24135686,50.70492434,42.04567806,35.28869245,25.62528489,22.33682642,19.08549804,16.60093929,13.04928169,6.643810898,5.97853662,83.0308754,88.6789592,89.49006044,89.8497399,90.57866327,89.45254413,90.68503832,91.64955721,92.2205781,92.9445969
